success,size,topic,acks,compression,inflight,batch,linger,time,rate,latency
1,8192,test-snappy,-1,snappy,1,524288,700,2100,189.91,220.85
1,8192,test-snappy,-1,snappy,1,524288,1000,2063,193.65,220.41
1,8192,test-snappy,-1,snappy,1,1048576,0,2123,188.79,177.78
1,8192,test-snappy,-1,snappy,1,1048576,20,2033,202.37,160.60
1,8192,test-snappy,-1,snappy,1,1048576,50,2084,190.62,174.86
1,8192,test-snappy,-1,snappy,1,1048576,100,2035,196.92,165.86
1,8192,test-snappy,-1,snappy,1,1048576,150,2118,184.31,176.17
1,8192,test-snappy,-1,snappy,1,1048576,200,2054,194.68,168.52
1,8192,test-snappy,-1,snappy,1,1048576,300,2095,188.65,173.38
1,8192,test-snappy,-1,snappy,1,1048576,500,2107,187.68,165.26
1,8192,test-snappy,-1,snappy,1,1048576,700,2130,188.51,172.53
1,8192,test-snappy,-1,snappy,1,1048576,1000,2201,177.78,184.78
1,8192,test-snappy,-1,snappy,1,2097152,0,2116,185.51,144.99
1,8192,test-snappy,-1,snappy,1,2097152,20,2218,172.74,160.99
1,8192,test-snappy,-1,snappy,1,2097152,50,2135,187.27,141.99
1,8192,test-snappy,-1,snappy,1,2097152,100,2229,172.62,149.63
1,8192,test-snappy,-1,snappy,1,2097152,150,2046,196.32,138.61
1,8192,test-snappy,-1,snappy,1,2097152,200,2251,168.87,161.34
1,8192,test-snappy,-1,snappy,1,2097152,300,2098,188.24,146.03
1,8192,test-snappy,-1,snappy,1,2097152,500,2181,177.78,148.10
1,8192,test-snappy,-1,snappy,1,2097152,700,2097,188.65,142.11
1,8192,test-snappy,-1,snappy,1,2097152,1000,2248,170.10,161.08
1,8192,test-snappy,-1,snappy,1,4194304,0,2158,182.60,125.95
1,8192,test-snappy,-1,snappy,1,4194304,20,2045,196.47,114.49
1,8192,test-snappy,-1,snappy,1,4194304,50,2152,180.66,139.64
1,8192,test-snappy,-1,snappy,1,4194304,100,2252,169.54,150.85
1,8192,test-snappy,-1,snappy,1,4194304,150,2076,192.34,123.55
1,8192,test-snappy,-1,snappy,1,4194304,200,2222,175.46,143.57
1,8192,test-snappy,-1,snappy,1,4194304,300,2109,187.13,124.69
1,8192,test-snappy,-1,snappy,1,4194304,500,2322,161.72,158.60
1,8192,test-snappy,-1,snappy,1,4194304,700,2165,180.79,133.81
1,8192,test-snappy,-1,snappy,1,4194304,1000,2225,175.10,141.56
1,8192,test-snappy,-1,snappy,1,8388608,0,2277,167.43,145.21
1,8192,test-snappy,-1,snappy,1,8388608,20,2343,162.23,138.00
1,8192,test-snappy,-1,snappy,1,8388608,50,2258,168.31,131.04
1,8192,test-snappy,-1,snappy,1,8388608,100,2238,174.39,131.81
1,8192,test-snappy,-1,snappy,1,8388608,150,2267,167.87,135.15
1,8192,test-snappy,-1,snappy,1,8388608,200,2194,176.43,131.17
1,8192,test-snappy,-1,snappy,1,8388608,300,2587,138.68,177.61
1,8192,test-snappy,-1,snappy,1,8388608,500,2286,165.80,141.61
1,8192,test-snappy,-1,snappy,1,8388608,700,2300,164.52,147.00
1,8192,test-snappy,-1,snappy,1,8388608,1000,2276,169.31,132.10
1,8192,test-snappy,-1,snappy,5,0,0,7168,39.88,688.98
1,8192,test-snappy,-1,snappy,5,0,20,7191,39.78,677.38
1,8192,test-snappy,-1,snappy,5,0,50,7124,40.28,685.67
1,8192,test-snappy,-1,snappy,5,0,100,7187,39.78,688.95
1,8192,test-snappy,-1,snappy,5,0,150,7374,38.62,683.45
1,8192,test-snappy,-1,snappy,5,0,200,7097,40.31,687.71
1,8192,test-snappy,-1,snappy,5,0,300,7167,39.88,685.47
1,8192,test-snappy,-1,snappy,5,0,500,7133,40.09,682.68
1,8192,test-snappy,-1,snappy,5,0,700,7303,39.05,694.20
1,8192,test-snappy,-1,snappy,5,0,1000,7260,39.31,693.10
1,8192,test-snappy,-1,snappy,5,512,0,7183,39.76,676.88
1,8192,test-snappy,-1,snappy,5,512,20,7072,40.49,679.20
1,8192,test-snappy,-1,snappy,5,512,50,7165,39.89,690.09
1,8192,test-snappy,-1,snappy,5,512,100,7165,39.86,687.64
1,8192,test-snappy,-1,snappy,5,512,150,7236,39.46,693.76
1,8192,test-snappy,-1,snappy,5,512,200,7143,40.01,673.31
1,8192,test-snappy,-1,snappy,5,512,300,7160,39.88,690.35
1,8192,test-snappy,-1,snappy,5,512,500,7192,39.81,673.28
1,8192,test-snappy,-1,snappy,5,512,700,7109,40.25,680.80
1,8192,test-snappy,-1,snappy,5,512,1000,7305,39.02,694.31
1,8192,test-snappy,-1,snappy,5,1024,0,7272,39.38,693.23
1,8192,test-snappy,-1,snappy,5,1024,20,7104,40.25,683.65
1,8192,test-snappy,-1,snappy,5,1024,50,7135,40.08,672.51
1,8192,test-snappy,-1,snappy,5,1024,100,7350,38.78,696.76
1,8192,test-snappy,-1,snappy,5,1024,150,7277,39.24,689.42
1,8192,test-snappy,-1,snappy,5,1024,200,7092,40.31,689.21
1,8192,test-snappy,-1,snappy,5,1024,300,7061,40.62,675.70
1,8192,test-snappy,-1,snappy,5,1024,500,7118,40.18,680.72
1,8192,test-snappy,-1,snappy,5,1024,700,7143,40.03,682.90
1,8192,test-snappy,-1,snappy,5,1024,1000,7381,38.67,694.93
1,8192,test-snappy,-1,snappy,5,8192,0,7216,39.59,677.54
1,8192,test-snappy,-1,snappy,5,8192,20,7082,40.42,682.81
1,8192,test-snappy,-1,snappy,5,8192,50,7407,38.53,685.51
1,8192,test-snappy,-1,snappy,5,8192,100,7168,40.03,669.85
1,8192,test-snappy,-1,snappy,5,8192,150,7240,39.42,690.16
1,8192,test-snappy,-1,snappy,5,8192,200,7157,40.13,683.23
1,8192,test-snappy,-1,snappy,5,8192,300,7367,38.70,691.40
1,8192,test-snappy,-1,snappy,5,8192,500,7134,40.20,677.64
1,8192,test-snappy,-1,snappy,5,8192,700,7110,40.30,686.17
1,8192,test-snappy,-1,snappy,5,8192,1000,7145,40.03,682.36
1,8192,test-snappy,-1,snappy,5,16384,0,7227,39.61,361.45
1,8192,test-snappy,-1,snappy,5,16384,20,7083,40.37,357.88
1,8192,test-snappy,-1,snappy,5,16384,50,7082,40.43,359.19
1,8192,test-snappy,-1,snappy,5,16384,100,7296,39.23,355.67
1,8192,test-snappy,-1,snappy,5,16384,150,7329,38.89,362.19
1,8192,test-snappy,-1,snappy,5,16384,200,7300,39.05,359.31
1,8192,test-snappy,-1,snappy,5,16384,300,7253,39.39,363.35
1,8192,test-snappy,-1,snappy,5,16384,500,7115,40.30,358.38
1,8192,test-snappy,-1,snappy,5,16384,700,7249,39.38,363.16
1,8192,test-snappy,-1,snappy,5,16384,1000,7049,40.62,356.10
1,8192,test-snappy,-1,snappy,5,32768,0,2321,161.92,253.31
1,8192,test-snappy,-1,snappy,5,32768,20,2394,154.59,275.03
1,8192,test-snappy,-1,snappy,5,32768,50,2438,153.29,275.69
1,8192,test-snappy,-1,snappy,5,32768,100,2321,161.21,263.27
1,8192,test-snappy,-1,snappy,5,32768,150,2411,153.85,263.02
1,8192,test-snappy,-1,snappy,5,32768,200,2429,152.02,267.18
1,8192,test-snappy,-1,snappy,5,32768,300,2294,164.63,258.24
1,8192,test-snappy,-1,snappy,5,32768,500,2330,161.21,259.56
1,8192,test-snappy,-1,snappy,5,32768,700,2375,156.38,263.37
1,8192,test-snappy,-1,snappy,5,32768,1000,2330,161.92,260.82
1,8192,test-snappy,-1,snappy,5,65536,0,2031,203.17,218.49
1,8192,test-snappy,-1,snappy,5,65536,20,2038,197.23,225.40
1,8192,test-snappy,-1,snappy,5,65536,50,2052,195.72,221.38
1,8192,test-snappy,-1,snappy,5,65536,100,2031,198.91,214.89
1,8192,test-snappy,-1,snappy,5,65536,150,2084,190.48,233.30
1,8192,test-snappy,-1,snappy,5,65536,200,2028,199.38,228.64
1,8192,test-snappy,-1,snappy,5,65536,300,2037,200.16,215.14
1,8192,test-snappy,-1,snappy,5,65536,500,2046,199.69,221.41
1,8192,test-snappy,-1,snappy,5,65536,700,2061,194.53,217.46
1,8192,test-snappy,-1,snappy,5,65536,1000,1960,210.01,212.79
1,8192,test-snappy,-1,snappy,5,131072,0,1972,211.75,212.69
1,8192,test-snappy,-1,snappy,5,131072,20,1893,221.45,205.16
1,8192,test-snappy,-1,snappy,5,131072,50,1934,219.18,212.87
1,8192,test-snappy,-1,snappy,5,131072,100,1933,219.55,211.08
1,8192,test-snappy,-1,snappy,5,131072,150,1910,221.26,206.92
1,8192,test-snappy,-1,snappy,5,131072,200,1925,216.77,208.79
1,8192,test-snappy,-1,snappy,5,131072,300,1926,215.49,210.91
1,8192,test-snappy,-1,snappy,5,131072,500,1912,218.99,203.52
1,8192,test-snappy,-1,snappy,5,131072,700,1922,216.58,208.07
1,8192,test-snappy,-1,snappy,5,131072,1000,2010,201.57,239.86
1,8192,test-snappy,-1,snappy,5,524288,0,1930,216.22,192.66
1,8192,test-snappy,-1,snappy,5,524288,20,1918,217.50,195.99
1,8192,test-snappy,-1,snappy,5,524288,50,1938,218.06,186.53
1,8192,test-snappy,-1,snappy,5,524288,100,1970,208.47,190.65
1,8192,test-snappy,-1,snappy,5,524288,150,1931,217.13,185.77
1,8192,test-snappy,-1,snappy,5,524288,200,1910,218.99,193.27
